	name	skills
0	Richard Boland	"[""negotiate health and safety issues with third parties"", ""provide feedback on patient's communication style"", ""negotiate health and safety issues with third parties"", ""strive for nutritional improvement of food manufacturing"", ""coordinate with creative departments"", ""adapt to artists' creative demands"", ""coordinate technical teams in artistic productions"", ""adapt to artists' creative demands"", ""coordinate with creative departments"", ""negotiate health and safety issues with third parties"", ""organise rehearsals"", ""theatre techniques"", ""coordinate with creative departments"", ""negotiate health and safety issues with third parties"", ""coordinate coremaking shifts""]"
1	Elizabeth Murphy	"[""precious metal processing"", ""ferrous metal processing"", ""consult technical resources"", ""supply machine"", ""mark processed workpiece"", ""monitor moving workpiece in a machine"", ""perform test run"", ""types of metal manufacturing processes"", ""communicate performance aspects"", ""record production data for quality control"", ""non-ferrous metal processing"", ""keep records of work progress"", ""operate climate control"", ""metal forming technologies"", ""organise fire station""]"
2	Mary Mayer	"[""estimate restoration costs of antique items"", ""keep records of work progress"", ""identify the health benefits of nutritional changes"", ""read standard blueprints"", ""instrument performance elements"", ""electrical engineering"", ""employ specific paramedic techniques in out-of-hospital care"", ""quality assurance procedures"", ""quality assurance procedures"", ""micromechatronic engineering"", ""microelectronics"", ""electronics"", ""MOEM"", ""operate precision measuring equipment"", ""microelectronics""]"
3	Adam Rasch	"[""electrical engineering"", ""use meteorological information"", ""test electrical equipment"", ""test circuitry"", ""electronics"", ""design control systems"", ""monitor well operations"", ""design electronic systems"", ""manage digital identity"", ""understand the animal's situation"", ""ensure aircraft compliance with regulation"", ""common aviation safety regulations"", ""test circuitry"", ""air transport law"", ""electronics""]"
4	Kimberly Bollinger	"[""analyse booking patterns"", ""maintain customer service"", ""handle customer complaints"", ""wide web flexographic printing press"", ""implement sales strategies"", ""manage school budget"", ""inspect data"", ""develop business case"", ""maintain customer service"", ""handle customer complaints"", ""monitor financial accounts"", ""monitor financial accounts"", ""develop working procedures"", ""comply with food safety and hygiene"", ""critique the dive with the dive team""]"
5	Tammy Jurgens	"[""wear appropriate protective gear"", ""record test data"", ""wear appropriate protective gear"", ""develop craft activities"", ""histopathology"", ""prepare samples for testing"", ""understand written Romanian"", ""carry out quality control in microbiology laboratories"", ""maintain laboratory equipment"", ""perform bone marrow transplant"", ""blood collection on babies"", ""prevent shoplifting"", ""prepare samples for testing"", ""maintain healthcare user data confidentiality"", ""interpret medical results""]"
6	Mark Whitting	"[""civil engineering"", ""run laboratory simulations"", ""civil engineering"", ""carry out storage risk management"", ""apply safety procedures in laboratory"", ""supervise laboratory operations"", ""advise on timber harvest"", ""follow health and safety procedures in construction"", ""write inspection reports"", ""civil engineering"", ""civil engineering"", ""asphalt mixes"", ""acquire license for selling tobacco products"", ""conduct soil sample tests"", ""asphalt mixes""]"
7	Guillermo Hernandez	"[""manage children's problems"", ""assist students in their learning"", ""provide teacher support"", ""support the positiveness of youths"", ""facilitate teamwork between students"", ""analyse road traffic patterns"", ""maintain relations with children's parents"", ""prepare youths for adulthood"", ""teach primary education class content"", ""assess students"", ""teamwork principles"", ""weigh in motion system"", ""assist students in their learning"", ""maintain internet protocol configuration"", ""assist students in their learning""]"
8	Gabriel Daly	"[""educate on the prevention of illness"", ""manage healthcare staff"", ""intensive care medicine"", ""employ foreign languages in care"", ""medical terminology"", ""manage physiotherapy staff"", ""perform carbonation processes"", ""develop strategic plans for physiotherapy services"", ""create editorial board"", ""develop strategic plans for physiotherapy services"", ""apply organisational techniques"", ""pharmacology"", ""monitor bond market"", ""surgery"", ""develop plans related to client discharge""]"
9	Cherry Allen	"[""analyse theatre texts"", ""play musical instruments"", ""human anatomy"", ""guarantee students' safety"", ""pronunciation techniques"", ""manage resources for educational purposes"", ""analyse community needs"", ""give constructive feedback"", ""advise on rehabilitation exercises"", ""assess students"", ""develop professional network"", ""human anatomy"", ""conduct background research for plays"", ""shellfish cultivation systems"", ""acting techniques""]"
